Dataset-Row-size,SPNRP-TIME(MINS),SPN-TIME(MINS),Feature-Space,SPN -LL,SPN-TIME,SPNRP-LL,SPNRP-TIME,INSTANCE,THRESHOLD,LEAVES,HEIGHT
5000,0.1301666667,1.112,10,29.16,66.72,24.66,7.81,40,0.4,10,12
5000,0.1625,1.878833333,20,54.51,112.73,47.3,9.75,20,0.4,15,14
5000,0.7523333333,13.17733333,40,106.97,790.64,103.15,45.14,20,0.4,5,10
5000,0.3423333333,33.614,60,167.93,2016.84,157.86,20.54,20,0.4,5,8
5000,1.5185,92.3445,100,292.89,5540.67,290.47,91.11,20,0.4,10,22
5000,2.6325,8.386666667,200,601.31,503.2,620.23,157.95,20,0.4,10,12
5000,5.919,412.229,300,897.98,24733.74,955.17,355.14,20,0.4,10,14
5000,3.449,728.8176667,400,1207.36,43729.06,1232.93,206.94,50,0.4,20,15
5000,6.172833333,996.763,500,1531.07,59805.78,1610.87,370.37,40,0.4,10,12
5000,12.30416667,3420.776333,1000,3198.21,205246.58,3378.85,738.25,20,0.4,10,12
